2024-03-13T16:15:50,728 [-] [PassThroughMessageProcessor-4]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /users/v1/Users, HEALTH CHECK URL = /users/v1/Users
2024-03-13T16:15:52,952 [-] [PassThroughMessageProcessor-5]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /users/v1/Users, HEALTH CHECK URL = /users/v1/Users
2024-03-13T16:15:54,037 [-] [PassThroughMessageProcessor-6]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /users/v1/Users, HEALTH CHECK URL = /users/v1/Users
2024-03-13T16:15:55,546 [-] [PassThroughMessageProcessor-7]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /users/v1/User, HEALTH CHECK URL = /users/v1/User
2024-03-13T16:15:58,109 [-] [PassThroughMessageProcessor-8]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /users/v1/Users, HEALTH CHECK URL = /users/v1/Users
2024-03-13T16:22:20,592 [-] [Framework Event Dispatcher: Equinox Container: 2bf53f82-5b02-42e1-8f86-48d0269016d8]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2024-03-13T16:22:20,616 [-] [Framework Event Dispatcher: Equinox Container: 2bf53f82-5b02-42e1-8f86-48d0269016d8]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2024-03-13T16:22:20,619 [-] [Framework Event Dispatcher: Equinox Container: 2bf53f82-5b02-42e1-8f86-48d0269016d8]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2024-03-13T18:04:17,253 [-] [PassThroughMessageProcessor-30]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:04:24,737 [-] [PassThroughMessageProcessor-31]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:04:39,184 [-] [PassThroughMessageProcessor-32]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:04:42,188 [-] [PassThroughMessageProcessor-33]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:04:45,649 [-] [PassThroughMessageProcessor-34]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:06:28,710 [-] [PassThroughMessageProcessor-35]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:07:30,706 [-] [PassThroughMessageProcessor-36]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Role, HEALTH CHECK URL = /roles/v1/Role
2024-03-13T18:07:35,140 [-] [PassThroughMessageProcessor-37]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Role, HEALTH CHECK URL = /roles/v1/Role
2024-03-13T18:13:39,159 [-] [PassThroughMessageProcessor-38]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-13T18:13:51,980 [-] [PassThroughMessageProcessor-39]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /roles/v1/Roles, HEALTH CHECK URL = /roles/v1/Roles
2024-03-18T15:57:38,262 [-] [Framework Event Dispatcher: Equinox Container: b63d2f9b-a5cd-4aea-a396-7d497a196173]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2024-03-18T15:57:38,271 [-] [Framework Event Dispatcher: Equinox Container: b63d2f9b-a5cd-4aea-a396-7d497a196173]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2024-03-18T15:57:38,272 [-] [Framework Event Dispatcher: Equinox Container: b63d2f9b-a5cd-4aea-a396-7d497a196173]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2024-03-18T19:08:58,627 [-] [Framework Event Dispatcher: Equinox Container: 57f66a71-a683-45eb-9247-4cba790afd71]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2024-03-18T19:08:58,638 [-] [Framework Event Dispatcher: Equinox Container: 57f66a71-a683-45eb-9247-4cba790afd71]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
